phylum;subphylum;class;order;genus;name;taxID;jgiID 
Ascomycota;Saccharomycotina;Saccharomycetes;Saccharomycetales;Ascoidea;Ascoidea rubescens;54195;Ascru1
Ascomycota;Pezizomycotina;Leotiomycetes;Helotiales;Ascocoryne;Ascocoryne sarcoides NRRL 50072;1016881;Ascsa1
Ascomycota;Saccharomycotina;Saccharomycetes;Saccharomycetales;Eremothecium;Eremothecium gossypii ATCC 10895;284811;Ashgo1_1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus aculeatus ATCC 16872;690307;Aspac1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus nidulans var. acristatus;286159;Aspacri1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus aculeatinus;487661;Aspacu1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus albertensis;41046;Aspalbe1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus amylovorus;176161;Aspamy1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus arachidicola;656916;Aspara19utr
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus avenaceus;36643;Aspave1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus bertholletius;1226010;Aspber1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus bisporus;41753;Aspbisp1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus bombycis;109264;Aspbom1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus brasiliensis CBS 101740;767769;Aspbr1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus brevijanus;176172;Aspbrev1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus brunneoviolaceus;1191711;Aspbru1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus carbonarius ITEM 5010;602072;Aspca3
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus caelatus;61420;Aspcae1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus calidoustus;454130;Aspcal1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus campestris IBT 28561;1392248;Aspcam1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus candidus;41067;Aspcand1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus carlsbadensis;1810906;Aspcar1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus chevalieri;182096;Aspchev1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus clavatus NRRL 1;344612;Aspcl1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus coremiiformis;138285;Aspcor1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus costaricaensis;319631;Aspcos1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus cristatus;573508;Aspcri1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus desertorum;1810909;Aspdese1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus;Aspergillus egyptiacus;41743;Aspegy1
